abbreviation	officialName	equation	subSystem	proteinClass	geneAssociation
DGSNtex	deoxyguanosine transport via diffusion (extracellular to periplasm)	dgsn[e] <==> dgsn[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
DHAD1	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	[c] : 23dhmb --> 3mob + h2o	Valine, Leucine, and Isoleucine Metabolism	4.2.1.9	b3771
DHAD2	Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)	[c] : 23dhmp --> 3mop + h2o	Valine, Leucine, and Isoleucine Metabolism		b3771
DHAPT	Dihydroxyacetone phosphotransferase	[c] : dha + pep --> dhap + pyr	Alternate Carbon Metabolism		( b1200  and  b1199  and  b1198  and  b2415  and  b2416 )
DHAtex	Dihydroxyacetone transport via diffusion (extracellular to periplasm)	dha[e] <==> dha[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
DHAtpp	Dihydroxyacetone transport via facilitated diffusion (periplasm)	dha[p] <==> dha[c]	Transport, Inner Membrane		
DHBD	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	[c] : 23ddhb + nad <==> 23dhb + h + nadh	Cofactor and Prosthetic Group Biosynthesis	1.3.1.28	b0596
DHBS	2,3-dihydroxybenzoate adenylate synthase	[c] : 23dhb + atp + h --> 23dhba + ppi	Cofactor and Prosthetic Group Biosynthesis	2.7.7.58	b0594
DHBSH	2,3-dihydroxybenzoylserine hydrolase	[c] : 23dhbzs + h2o --> 23dhb + ser-L	Cofactor and Prosthetic Group Biosynthesis		
DHCIND	2,3-dihydroxycinnamate dehydrogenase	[c] : cenchddd + nad --> dhcinnm + h + nadh	Alternate Carbon Metabolism		b2541
DHCINDO	2,3-dihydroxycinnamate 1,2-dioxygenase	[c] : dhcinnm + o2 --> h + hkntd	Alternate Carbon Metabolism		b0348
DHDPRy	dihydrodipicolinate reductase (NADPH)	[c] : 23dhdp + h + nadph --> nadp + thdp	Threonine and Lysine Metabolism	1.3.1.26	b0031
DHDPS	dihydrodipicolinate synthase	[c] : aspsa + pyr --> 23dhdp + h + (2) h2o	Threonine and Lysine Metabolism	4.2.1.52	b2478
DHFR	dihydrofolate reductase	[c] : dhf + h + nadph <==> nadp + thf	Cofactor and Prosthetic Group Biosynthesis	1.5.1.3	( b0048  or  b1606 )
DHFS	dihydrofolate synthase	[c] : atp + dhpt + glu-L --> adp + dhf + h + pi	Cofactor and Prosthetic Group Biosynthesis	6.3.2.12	b2315
DHNAOT4	1,4-dihydroxy-2-naphthoate octaprenyltransferase	[c] : dhna + h + octdp --> 2dmmql8 + co2 + ppi	Cofactor and Prosthetic Group Biosynthesis		b3930
DHNPA2	dihydroneopterin aldolase	[c] : dhnpt --> 6hmhpt + gcald	Cofactor and Prosthetic Group Biosynthesis		b3058
DHORD2	dihydoorotic acid dehydrogenase (quinone8)	[c] : dhor-S + q8 --> orot + q8h2	Purine and Pyrimidine Biosynthesis	1.3.3.1	b0945
DHORD5	dihydroorotic acid (menaquinone-8)	[c] : dhor-S + mqn8 --> mql8 + orot	Purine and Pyrimidine Biosynthesis	1.3.3.1	b0945
DHORTS	dihydroorotase	[c] : dhor-S + h2o <==> cbasp + h	Purine and Pyrimidine Biosynthesis	3.5.2.3	b1062
DHPPD	2,3-dihydroxyphenylpropionate dehydrogenase	[c] : cechddd + nad --> dhpppn + h + nadh	Alternate Carbon Metabolism		b2541
DHPPDA2	diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp)	[c] : 25drapp + h + h2o --> 5apru + nh4	Cofactor and Prosthetic Group Biosynthesis	3.5.4.26	b0414
DHPS2	dihydropteroate synthase	[c] : 4abz + 6hmhptpp --> dhpt + ppi	Cofactor and Prosthetic Group Biosynthesis	2.5.1.15	b3177
DHPTDCs	4,5-dihydroxy-2,3-pentanedione cyclization (spontaneous)	[c] : dhptd --> h2o + hmfurn	Methionine Metabolism		s0001
DHPTPE	dihydroneopterin triphosphate 2'-epimerase	[c] : ahdt <==> dhmptp	Cofactor and Prosthetic Group Biosynthesis		b2303
DHQS	3-dehydroquinate synthase	[c] : 2dda7p --> 3dhq + pi	Tyrosine, Tryptophan, and Phenylalanine Metabolism		b3389
DHQTi	3-dehydroquinate dehydratase, irreversible	[c] : 3dhq --> 3dhsk + h2o	Tyrosine, Tryptophan, and Phenylalanine Metabolism	4.2.1.10	b1693
DIMPtex	dIMP transport via diffusion (extracellular to periplasm)	dimp[e] <==> dimp[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
DINSt2pp	deoxyinosine transport in via proton symport (periplasm)	din[p] + h[p] --> din[c] + h[c]	Transport, Inner Membrane		b2964
DINStex	deoxyinosine transport via diffusion (extracellular to periplasm)	din[e] <==> din[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
DKGLCNR1	2,5-diketo-D-gluconate reductase	[c] : 25dkglcn + h + nadph --> 2dhguln + nadp	Alternate Carbon Metabolism		( b0207  or  b3012 )
DKGLCNR2x	2,5-diketo-D-gluconate reductase (NADH)	[c] : 25dkglcn + h + nadh --> 5dglcn + nad	Alternate Carbon Metabolism		b3553
DKGLCNR2y	2,5-diketo-D-gluconate reductase (NADPH)	[c] : 25dkglcn + h + nadph --> 5dglcn + nadp	Alternate Carbon Metabolism		b3553
DKMPPD	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	[c] : dkmpp + h2o + o2 --> 2kmb + for + (2) h + pi	Arginine and Proline Metabolism		
DKMPPD3	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	[c] : dkmpp + (3) h2o + (2) nad --> 2kmb + for + (4) h + (2) nadh + pi	Arginine and Proline Metabolism		
D-LACt2pp	D-lactate transport via proton symport (periplasm)	h[p] + lac-D[p] <==> h[c] + lac-D[c]	Transport, Inner Membrane		( b3603  or  b2975 )
D-LACtex	D-lactate transport via diffusion (extracellular to periplasm)	lac-D[e] <==> lac-D[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
DM_4HBA	Sink needed to allow 4-hydroxy-benzoate to leave system	[c] : 4hba -->			
DM_5DRIB	Sink needed to allow 5'-deoxyribose to leave system	[c] : 5drib -->			
DM_AACALD	Sink needed to allow aminoacetaldehyde to leave system	[c] : aacald -->			
DM_HMFURN	Sink needed to allow 4-hydroxy-5-methyl-3(2H)-furanone to leave system	[c] : hmfurn -->			
DM_OXAM	Sink needed to allow oxamate to leave system	[c] : oxam -->			
DMATT	dimethylallyltranstransferase	[c] : dmpp + ipdp --> grdp + ppi	Cofactor and Prosthetic Group Biosynthesis	2.5.1.1	b0421
DMPPS	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp)	[c] : h + h2mb4p + nadh --> dmpp + h2o + nad	Cofactor and Prosthetic Group Biosynthesis		b0029
DMQMT	3-Dimethylubiquinonol 3-methyltransferase	[c] : 2omhmbl + amet --> ahcys + h + q8h2	Cofactor and Prosthetic Group Biosynthesis		b2232
DMSOR1	Dimethyl sulfoxide reductase (Menaquinol 8)	[c] : dmso + mql8 --> dms + h2o + mqn8	Oxidative Phosphorylation		( ( b1587  and  b1588  and  b1589  and  b1590 )  or  ( b0894  and  b0895  and  b0896 ) )
DMSOR1pp	Dimethyl sulfoxide reductase (Menaquinol 8) (periplasm)	dmso[p] + mql8[c] --> dms[p] + h2o[p] + mqn8[c]	Oxidative Phosphorylation		( b1872  and  b1873 )
DMSOR2	Dimethyl sulfoxide reductase (Demethylmenaquinol 8)	[c] : 2dmmql8 + dmso --> 2dmmq8 + dms + h2o	Oxidative Phosphorylation		( b0894  and  b0895  and  b0896 )
DMSOR2pp	Dimethyl sulfoxide reductase (Demethylmenaquinol 8) (periplasm)	2dmmql8[c] + dmso[p] --> 2dmmq8[c] + dms[p] + h2o[p]	Oxidative Phosphorylation		( b1872  and  b1873 )
DMSOtex	Dimethyl sulfoxide transport via diffusion (extracellular to periplasm)	dmso[e] <==> dmso[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
DMStex	Dimethyl sulfide transport via diffusion (extracellular to periplasm)	dms[e] <==> dms[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
DNMPPA	Dihydroneopterin monophosphate dephosphorylase	[c] : dhpmp + h2o --> dhnpt + pi	Cofactor and Prosthetic Group Biosynthesis		
DNTPPA	Dihydroneopterin triphosphate pyrophosphatase	[c] : ahdt + h2o --> dhpmp + h + ppi	Cofactor and Prosthetic Group Biosynthesis		( b1865  or  b0099 )
DOGULNR	2,3 dioxo-L-gulonate reductase	[c] : 23doguln + h + nadh --> 3dhguln + nad	Alternate Carbon Metabolism		b3575
DOPAtex	dopamine transport via diffusion (extracellular to periplasm)	dopa[e] <==> dopa[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
DPCOAK	dephospho-CoA kinase	[c] : atp + dpcoa --> adp + coa + h	Cofactor and Prosthetic Group Biosynthesis	2.7.1.24	b0103
DPR	2-dehydropantoate 2-reductase	[c] : 2dhp + h + nadph --> nadp + pant-R	Cofactor and Prosthetic Group Biosynthesis	1.1.1.169	( b0425  or  b3774 )
DRPA	deoxyribose-phosphate aldolase	[c] : 2dr5p --> acald + g3p	Alternate Carbon Metabolism	4.1.2.4	b4381
DSBAO1	DsbA protein reoxidation reaction (aerobic)	dsbard[p] + q8[c] --> dsbaox[p] + q8h2[c]	Unassigned		( b3860  and  b1185 )
DSBAO2	DsbA protein reoxidation reaction (anaerobic)	dsbard[p] + mqn8[c] --> dsbaox[p] + mql8[c]	Unassigned		( b3860  and  b1185 )
DSBCGT	DsbC:glutathione thiotransferase	[p] : dsbcox + (2) gthrd --> dsbcrd + gthox	Unassigned		b2893
DSBDR	DsbD reductase	[c] : dsbdox + trdrd --> dsbdrd + trdox	Unassigned		( ( b4136  and  b3781 )  or  ( b4136  and  b2582 ) )
DSBGGT	DsbG:glutathione thiotransferase	[p] : dsbgox + (2) gthrd --> dsbgrd + gthox	Unassigned		b0604
DSERDHr	D-serine dehydrogenase	[c] : nadp + ser-D <==> 2amsa + h + nadph	Glycine and Serine Metabolism		b1539
DSERt2pp	D-serine transport in via proton symport (periplasm)	h[p] + ser-D[p] --> h[c] + ser-D[c]	Transport, Inner Membrane		b4208
DSERtex	D-serine transport via diffusion (extracellular to periplasm)	ser-D[e] <==> ser-D[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
DTMPK	dTMP kinase	[c] : atp + dtmp <==> adp + dtdp	Nucleotide Salvage Pathway	2.7.4.9	b1098
DTMPtex	dTMP transport via diffusion (extracellular to periplasm)	dtmp[e] <==> dtmp[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
DUMPtex	dUMP transport via diffusion (extracellular to periplasm)	dump[e] <==> dump[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
DURIK1	deoxyuridine kinase (ATP:Deoxyuridine)	[c] : atp + duri --> adp + dump + h	Nucleotide Salvage Pathway		b1238
DURIPP	deoxyuridine phosphorylase	[c] : duri + pi <==> 2dr1p + ura	Nucleotide Salvage Pathway		( b4382  or  b4384 )
DURIt2pp	deoxyuridine transport in via proton symport (periplasm)	duri[p] + h[p] --> duri[c] + h[c]	Transport, Inner Membrane		( b2393  or  b2964 )
DURItex	deoxyuridine transport via diffusion (extracellular to periplasm)	duri[e] <==> duri[p]	Transport, Outer Membrane		b0411
DUTPDP	dUTP diphosphatase	[c] : dutp + h2o --> dump + h + ppi	Nucleotide Salvage Pathway	3.6.1.23	( b3640  or  b2251 )
DXPRIi	1-deoxy-D-xylulose reductoisomerase	[c] : dxyl5p + h + nadph --> 2me4p + nadp	Cofactor and Prosthetic Group Biosynthesis		b0173
DXPS	1-deoxy-D-xylulose 5-phosphate synthase	[c] : g3p + h + pyr --> co2 + dxyl5p	Cofactor and Prosthetic Group Biosynthesis		b0420
DXYLK	1-Deoxy-D-xylulose kinase	[c] : atp + dxyl --> adp + dxyl5p + h	Cofactor and Prosthetic Group Biosynthesis		b3564
E4PD	Erythrose 4-phosphate dehydrogenase	[c] : e4p + h2o + nad <==> 4per + (2) h + nadh	Cofactor and Prosthetic Group Biosynthesis		b2927
EAR100x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C10:0)	[c] : h + nadh + tdec2eACP --> dcaACP + nad	Cell Envelope Biosynthesis	1.3.1.9	b1288
EAR100y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C10:0)	[c] : h + nadph + tdec2eACP --> dcaACP + nadp	Cell Envelope Biosynthesis	1.3.1.10	b1288
EAR120x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:0)	[c] : h + nadh + tddec2eACP --> ddcaACP + nad	Cell Envelope Biosynthesis	1.3.1.9	b1288
EAR120y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:0)	[c] : h + nadph + tddec2eACP --> ddcaACP + nadp	Cell Envelope Biosynthesis	1.3.1.10	b1288
EAR121x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:1)	[c] : h + nadh + t3c5ddeceACP --> cddec5eACP + nad	Cell Envelope Biosynthesis	1.3.1.9	b1288
EAR121y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:1)	[c] : h + nadph + t3c5ddeceACP --> cddec5eACP + nadp	Cell Envelope Biosynthesis	1.3.1.10	b1288
EAR140x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:0)	[c] : h + nadh + tmrs2eACP --> myrsACP + nad	Cell Envelope Biosynthesis	1.3.1.9	b1288
EAR140y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:0)	[c] : h + nadph + tmrs2eACP --> myrsACP + nadp	Cell Envelope Biosynthesis	1.3.1.10	b1288
EAR141x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:1)	[c] : h + nadh + t3c7mrseACP --> nad + tdeACP	Cell Envelope Biosynthesis	1.3.1.9	b1288
EAR141y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:1)	[c] : h + nadph + t3c7mrseACP --> nadp + tdeACP	Cell Envelope Biosynthesis	1.3.1.10	b1288
EAR160x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:0)	[c] : h + nadh + tpalm2eACP --> nad + palmACP	Cell Envelope Biosynthesis	1.3.1.9	b1288
EAR160y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:0)	[c] : h + nadph + tpalm2eACP --> nadp + palmACP	Cell Envelope Biosynthesis	1.3.1.10	b1288
EAR161x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:1)	[c] : h + nadh + t3c9palmeACP --> hdeACP + nad	Cell Envelope Biosynthesis	1.3.1.9	b1288
EAR161y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:1)	[c] : h + nadph + t3c9palmeACP --> hdeACP + nadp	Cell Envelope Biosynthesis	1.3.1.10	b1288
EAR180x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:0)	[c] : h + nadh + toctd2eACP --> nad + ocdcaACP	Cell Envelope Biosynthesis	1.3.1.9	b1288
EAR180y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:0)	[c] : h + nadph + toctd2eACP --> nadp + ocdcaACP	Cell Envelope Biosynthesis	1.3.1.10	b1288
EAR181x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:1)	[c] : h + nadh + t3c11vaceACP --> nad + octeACP	Cell Envelope Biosynthesis	1.3.1.9	b1288
EAR181y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:1)	[c] : h + nadph + t3c11vaceACP --> nadp + octeACP	Cell Envelope Biosynthesis	1.3.1.10	b1288
EAR40x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C4:0)	[c] : but2eACP + h + nadh --> butACP + nad	Cell Envelope Biosynthesis	1.3.1.9	b1288
EAR40y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C4:0)	[c] : but2eACP + h + nadph --> butACP + nadp	Cell Envelope Biosynthesis	1.3.1.10	b1288
EAR60x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0)	[c] : h + nadh + thex2eACP --> hexACP + nad	Cell Envelope Biosynthesis	1.3.1.9	b1288
EAR60y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C6:0)	[c] : h + nadph + thex2eACP --> hexACP + nadp	Cell Envelope Biosynthesis	1.3.1.10	b1288
EAR80x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0)	[c] : h + nadh + toct2eACP --> nad + ocACP	Cell Envelope Biosynthesis	1.3.1.9	b1288
EAR80y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C8:0)	[c] : h + nadph + toct2eACP --> nadp + ocACP	Cell Envelope Biosynthesis	1.3.1.10	b1288
ECA4COLIPAtex	enterobacterial common antigen (x4) core oligosaccharide lipid A transport (periplasm to extracellular)	eca4colipa[p] --> eca4colipa[e]	Lipopolysaccharide Biosynthesis / Recycling		
ECA4OALpp	enterobacterial common antigen (x4) O-antigen ligase (periplasm)	[p] : colipa + eca4und --> eca4colipa + h + udcpdp	Lipopolysaccharide Biosynthesis / Recycling		b3622
ECAP1pp	enterobacterial common antigen polymerase (periplasm)	[p] : (2) unagamuf --> eca2und + h + udcpdp	Lipopolysaccharide Biosynthesis / Recycling		( b3793  and  b3785 )
ECAP2pp	enterobacterial common antigen polymerase (periplasm)	[p] : eca2und + unagamuf --> eca3und + h + udcpdp	Lipopolysaccharide Biosynthesis / Recycling		( b3793  and  b3785 )
ECAP3pp	enterobacterial common antigen polymerase (periplasm)	[p] : eca3und + unagamuf --> eca4und + h + udcpdp	Lipopolysaccharide Biosynthesis / Recycling		( b3793  and  b3785 )
ECAtpp	enterobacterial common antigen transferase (flippase, cytoplasm to periplasm)	unagamuf[c] --> unagamuf[p]	Lipopolysaccharide Biosynthesis / Recycling		b3792
ECOAH1	3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)	[c] : 3hbcoa <==> b2coa + h2o	Membrane Lipid Metabolism	4.2.1.17	( b3846  or  b2341 )
ECOAH2	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA)	[c] : 3hhcoa <==> h2o + hx2coa	Membrane Lipid Metabolism	4.2.1.17	( b3846  or  b2341 )
ECOAH3	3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA)	[c] : 3hocoa <==> h2o + oc2coa	Membrane Lipid Metabolism	4.2.1.17	( b3846  or  b2341 )
ECOAH4	3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA)	[c] : 3hdcoa <==> dc2coa + h2o	Membrane Lipid Metabolism	4.2.1.17	( b3846  or  b2341 )
ECOAH5	3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA)	[c] : 3hddcoa <==> dd2coa + h2o	Membrane Lipid Metabolism	4.2.1.17	( b3846  or  b2341 )
ECOAH6	3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA)	[c] : 3htdcoa <==> h2o + td2coa	Membrane Lipid Metabolism	4.2.1.17	( b3846  or  b2341 )
ECOAH7	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA)	[c] : 3hhdcoa <==> h2o + hdd2coa	Membrane Lipid Metabolism	4.2.1.17	( b3846  or  b2341 )
ECOAH8	3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA)	[c] : 3hodcoa <==> h2o + od2coa	Membrane Lipid Metabolism	4.2.1.17	( b3846  or  b2341 )
EDA	2-dehydro-3-deoxy-phosphogluconate aldolase	[c] : 2ddg6p --> g3p + pyr	Pentose Phosphate Pathway	4.1.2.14	b1850
EDD	6-phosphogluconate dehydratase	[c] : 6pgc --> 2ddg6p + h2o	Pentose Phosphate Pathway	4.2.1.12	b1851
EDTXS1	Endotoxin Synthesis (lauroyl transferase)	[c] : ddcaACP + kdo2lipid4 --> ACP + kdo2lipid4L	Lipopolysaccharide Biosynthesis / Recycling		b1054
EDTXS2	Endotoxin Synthesis (myristoyl transferase)	[c] : kdo2lipid4L + myrsACP --> ACP + lipa	Lipopolysaccharide Biosynthesis / Recycling		b1855
EDTXS3	Endotoxin Synthesis (palmitoleoyl ACP)	[c] : hdeACP + kdo2lipid4 --> ACP + kdo2lipid4p	Lipopolysaccharide Biosynthesis / Recycling		b2378
EDTXS4	Endotoxin Synthesis (myristoyl transferase)	[c] : kdo2lipid4p + myrsACP --> ACP + lipa_cold	Lipopolysaccharide Biosynthesis / Recycling		b1855
ENLIPAtex	phosphoethanolamine lipid A transport via vector (periplasm to extracellular)	enlipa[p] --> enlipa[e]	Lipopolysaccharide Biosynthesis / Recycling		
ENO	enolase	[c] : 2pg <==> h2o + pep	Glycolysis/Gluconeogenesis	4.2.1.11	b2779
ENTCS	enterochelin synthase	[c] : (3) 23dhba + (3) seramp --> (6) amp + enter + (9) h	Cofactor and Prosthetic Group Biosynthesis		b0583
ENTERES	Enterochelin Esterase	[c] : enter + (3) h2o --> (3) 23dhbzs + (3) h	Inorganic Ion Transport and Metabolism		b0585
ENTERES2	Enterochelin Esterase (Fe containing)	[c] : feenter + (3) h2o --> (3) 23dhbzs + fe3 + (3) h	Inorganic Ion Transport and Metabolism		b0585
ETHAAL	Ethanolamine ammonia-lyase	[c] : etha --> acald + nh4	Cell Envelope Biosynthesis	4.3.1.7	( b2440  and  b2441 )
ETHAt2pp	ethanolamine transport in via proton symport	etha[p] + h[p] --> etha[c] + h[c]	Transport, Inner Membrane		
ETHAtex	ethanolamine transport via diffusion (extracellular)	etha[e] <==> etha[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
ETHSO3abcpp	ethanesulfonate transport via ABC system (periplasm)	atp[c] + ethso3[p] + h2o[c] --> adp[c] + ethso3[c] + h[c] + pi[c]	Transport, Inner Membrane		( b0936  and  b0933  and  b0934 )
ETHSO3tex	ethanesulfonate transport via diffusion (extracellular to periplasm)	ethso3[e] <==> ethso3[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
ETOHt2rpp	ethanol reversible transport via proton symport (periplasm)	etoh[p] + h[p] <==> etoh[c] + h[c]	Transport, Inner Membrane		
ETOHtex	ethanol transport via diffusion (extracellular to periplasm)	etoh[e] <==> etoh[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
EX_12ppd-R(e)	(R)-Propane-1,2-diol exchange	[e] : 12ppd-R <==>			
EX_12ppd-S(e)	(S)-Propane-1,2-diol exchange	[e] : 12ppd-S <==>			
EX_14glucan(e)	1,4-alpha-D-glucan exchange	[e] : 14glucan <==>			
EX_15dap(e)	1,5-Diaminopentane exchange	[e] : 15dap <==>			
EX_23camp(e)	2',3'-Cyclic AMP exchange	[e] : 23camp <==>			
EX_23ccmp(e)	2',3'-Cyclic CMP exchange	[e] : 23ccmp <==>			
EX_23cgmp(e)	2',3'-Cyclic GMP exchange	[e] : 23cgmp <==>			
EX_23cump(e)	2',3'-Cyclic UMP exchange	[e] : 23cump <==>			
EX_23dappa(e)	2,3-diaminopropionate exchange	[e] : 23dappa <==>			
EX_26dap-M(e)	meso-2,6-Diaminoheptanedioate exchange	[e] : 26dap-M <==>			
EX_2ddglcn(e)	2-Dehydro-3-deoxy-D-gluconate exchange	[e] : 2ddglcn <==>			
EX_34dhpac(e)	3,4-Dihydroxyphenylacetaldehyde exchange	[e] : 34dhpac <==>			
EX_3amp(e)	3'-AMP exchange	[e] : 3amp <==>			
EX_3cmp(e)	3'-cmp exchange	[e] : 3cmp <==>			
EX_3gmp(e)	3'-GMP exchange	[e] : 3gmp <==>			
EX_3hcinnm(e)	3-hydroxycinnamic acid exchange	[e] : 3hcinnm <==>			
EX_3hpppn(e)	3-(3-hydroxy-phenyl)propionate exchange	[e] : 3hpppn <==>			
EX_3ump(e)	3'-UMP exchange	[e] : 3ump <==>			
EX_4abut(e)	4-Aminobutanoate exchange	[e] : 4abut <==>			
EX_4hoxpacd(e)	4-Hydroxyphenylacetaldehyde exchange	[e] : 4hoxpacd <==>			
EX_5dglcn(e)	5-Dehydro-D-gluconate exchange	[e] : 5dglcn <==>			
EX_ac(e)	Acetate exchange	[e] : ac <==>			
EX_acac(e)	Acetoacetate exchange	[e] : acac <==>			
EX_acald(e)	Acetaldehyde exchange	[e] : acald <==>			
EX_acgal(e)	N-Acetyl-D-galactosamine exchange	[e] : acgal <==>			
EX_acgal1p(e)	N-Acetyl-D-galactosamine 1-phosphate exchange	[e] : acgal1p <==>			
EX_acgam(e)	N-Acetyl-D-glucosamine exchange	[e] : acgam <==>			
EX_acgam1p(e)	N-Acetyl-D-glucosamine 1-phosphate exchange	[e] : acgam1p <==>			
EX_acmana(e)	N-Acetyl-D-mannosamine exchange	[e] : acmana <==>			
EX_acmum(e)	N-Acetylmuramate exchange	[e] : acmum <==>			
EX_acnam(e)	N-Acetylneuraminate exchange	[e] : acnam <==>			
EX_acolipa(e)	4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A exchange	[e] : acolipa <==>			
EX_acser(e)	O-Acetyl-L-serine exchange	[e] : acser <==>			
EX_ade(e)	Adenine exchange	[e] : ade <==>			
EX_adn(e)	Adenosine exchange	[e] : adn <==>			
EX_adocbl(e)	Adenosylcobalamin exchange	[e] : adocbl <==>			
EX_ag(e)	silver exchange	[e] : ag <==>			
EX_agm(e)	Agmatine exchange	[e] : agm <==>			
EX_akg(e)	2-Oxoglutarate exchange	[e] : akg <==>			
EX_alaala(e)	D-Alanyl-D-alanine exchange	[e] : alaala <==>			
EX_ala-B(e)	beta-Alanine exchange	[e] : ala-B <==>			
EX_ala-D(e)	D-Alanine exchange	[e] : ala-D <==>			
EX_ala-L(e)	L-Alanine exchange	[e] : ala-L <==>			
EX_all-D(e)	D-Allose exchange	[e] : all-D <==>			
EX_alltn(e)	Allantoin exchange	[e] : alltn <==>			
EX_amp(e)	AMP exchange	[e] : amp <==>			
EX_anhgm(e)	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid exchange	[e] : anhgm <==>			
EX_arab-L(e)	L-Arabinose exchange	[e] : arab-L <==>			
EX_arbtn(e)	aerobactin minus Fe3 exchange	[e] : arbtn <==>			
EX_arbtn-fe3(e)	Aerobactin exchange	[e] : arbtn-fe3 <==>			
EX_arg-L(e)	L-Arginine exchange	[e] : arg-L <==>			
EX_ascb-L(e)	L-Ascorbate exchange	[e] : ascb-L <==>			
EX_asn-L(e)	L-Asparagine exchange	[e] : asn-L <==>			
EX_aso3(e)	arsenite exchange	[e] : aso3 <==>			
EX_asp-L(e)	L-Aspartate exchange	[e] : asp-L <==>			
EX_but(e)	Butyrate (n-C4:0) exchange	[e] : but <==>			
EX_butso3(e)	butanesulfonate exchange	[e] : butso3 <==>			
EX_ca2(e)	Calcium exchange	[e] : ca2 <==>			
EX_cbi(e)	Cobinamide exchange	[e] : cbi <==>			
EX_cbl1(e)	Cob(I)alamin exchange	[e] : cbl1 <==>			
EX_cd2(e)	Cadmium exchange	[e] : cd2 <==>			
EX_cgly(e)	Cys-Gly exchange	[e] : cgly <==>			
EX_chol(e)	Choline exchange	[e] : chol <==>			
EX_cit(e)	Citrate exchange	[e] : cit <==>			
EX_cl(e)	Chloride exchange	[e] : cl <==>			
EX_cmp(e)	CMP exchange	[e] : cmp <==>			
EX_co2(e)	CO2 exchange	[e] : co2 <==>			
EX_cobalt2(e)	Co2+ exchange	[e] : cobalt2 <==>			
