abbreviation	lowbnd	uppbnd	obj_coef	equation	officialName	geneAssociation	subsystem
ASPt2pp_copy2	-1e3	1e3	0	h_p + asp__L_p <==> h_c + asp__L_c	L-aspartate transport in via proton symport (periplasm)		Transport, Inner Membrane
ASPtex	-1e3	1e3	0	asp__L_e <==> asp__L_p	L-aspartate transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
ASR	0	1e3	0	aso4_c + (2) gthrd_c --> h2o_c + aso3_c + gthox_c	Arsenate reductase	b3503 and b1064	Inorganic Ion Transport and Metabolism
AST	0	1e3	0	succoa_c + arg__L_c --> h_c + coa_c + sucarg_c	Arginine succinyltransferase	b1747	Arginine and Proline Metabolism
ATHRDHr	-1e3	1e3	0	nadp_c + athr__L_c <==> h_c + nadph_c + 2aobut_c	L-allo-threonine dehydrogenase	b1539	Threonine and Lysine Metabolism
ATPHs	0	1e3	0	atp_c + h2o_c + h_c --> nh4_c + itp_c	ATP amine hydrolysis (spontaneous)	s0001	Nucleotide Salvage Pathway
ATPM	3.15	1e3	0	atp_c + h2o_c --> adp_c + h_c + pi_c	ATP maintenance requirement		Biomass and maintenance functions
ATPPRT	0	1e3	0	atp_c + prpp_c --> ppi_c + prbatp_c	ATP phosphoribosyltransferase	b2019	Histidine Metabolism
ATPS4rpp	-1e3	1e3	0	adp_c + pi_c + (4) h_p <==> atp_c + h2o_c + (3) h_c	ATP synthase (four protons for one ATP) (periplasm)	((b3736 and b3737 and b3738) and (b3731 and b3732 and b3733 and b3734 and b3735) and b3739) or ((b3736 and b3737 and b3738) and (b3731 and b3732 and b3733 and b3734 and b3735))	Oxidative Phosphorylation
BALAt2pp	0	1e3	0	h_p + ala_B_p --> h_c + ala_B_c	Beta-alanine transport in via proton symport (periplasm)	b4208	Transport, Inner Membrane
BALAtex	-1e3	1e3	0	ala_B_e <==> ala_B_p	Beta-alanine transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
BETALDHx	0	1e3	0	h2o_c + nad_c + betald_c --> (2) h_c + nadh_c + glyb_c	Betaine-aldehyde dehydrogenase	b0312	Unassigned
BETALDHy	0	1e3	0	h2o_c + nadp_c + betald_c --> (2) h_c + nadph_c + glyb_c	Betaine-aldehyde dehydrogenase	b0312	Unassigned
BIOMASS_Ec_iJO1366_WT_53p95M	0	1e3	0	(54.119975) atp_c + (48.752916) h2o_c + (0.012366) pe160_c + (0.009618) pe161_c + (0.004957) pe181_c + (0.005707) pg160_c + (0.004439) pg161_c + (0.002288) pg181_c + (0.001787) nad_c + (4.5e-05) nadh_c + (0.000112) nadp_c + (0.000335) nadph_c + (0.012379) nh4_c + (0.000279) accoa_c + (0.000168) coa_c + (9.8e-05) succoa_c + (0.255712) glu__L_c + (0.209121) gtp_c + (3.1e-05) malcoa_c + (0.000223) fad_c + (0.000223) amet_c + (0.000223) chor_c + (0.255712) gln__L_c + (0.000223) adocbl_c + (0.234232) asp__L_c + (0.03327) ptrc_c + (0.000223) 10fthf_c + (0.000223) thf_c + (0.499149) ala__L_c + (0.000223) pydx5p_c + (0.031798) pe160_p + (0.004892) pg160_p + (0.000223) 2dmmql8_c + (0.000223) mql8_c + (0.088988) cys__L_c + (0.595297) gly_c + (0.214798) pro__L_c + (0.006388) fe2_c + (0.000223) ribflv_c + (0.28742) arg__L_c + (0.234232) asn__L_c + (0.000223) q8h2_c + (0.000223) gthrd_c + (2.5e-05) 2fe2s_c + (0.000248) 4fe4s_c + (0.000223) 5mthf_c + (0.000116) bmocogdp_c + (2e-06) btn_c + (0.004952) ca2_c + (0.004952) cl_c + (0.002944) clpn160_p + (0.00229) clpn161_p + (0.00118) clpn181_p + (2.4e-05) cobalt2_c + (0.008151) colipa_e + (0.129799) ctp_c + (0.000674) cu2_c + (0.024805) datp_c + (0.025612) dctp_c + (0.025612) dgtp_c + (0.024805) dttp_c + (0.000223) enter_c + (0.007428) fe3_c + (0.154187) glycogen_c + (0.000223) hemeO_c + (0.092056) his__L_c + (0.282306) ile__L_c + (0.18569) k_c + (0.437778) leu__L_c + (3e-06) lipopb_c + (0.333448) lys__L_c + (0.149336) met__L_c + (0.008253) mg2_c + (0.000223) mlthf_c + (0.000658) mn2_c + (7e-06) mobd_c + (7e-06) mococdp_c + (7e-06) mocogdp_c + (0.001345) murein3p3p_p + (0.000605) murein3px4p_p + (0.005381) murein4p4p_p + (0.005448) murein4px4p_p + (0.000673) murein4px4px4p_p + (0.000307) ni2_c + (0.024732) pe161_p + (0.012747) pe181_p + (0.003805) pg161_p + (0.001961) pg181_p + (0.180021) phe__L_c + (0.000223) pheme_c + (0.209684) ser__L_c + (0.000223) sheme_c + (0.004126) so4_c + (0.006744) spmd_c + (0.000223) thmpp_c + (0.246506) thr__L_c + (0.055234) trp__L_c + (0.133993) tyr__L_c + (5.5e-05) udcpdp_c + (0.140101) utp_c + (0.411184) val__L_c + (0.000324) zn2_c --> (53.95) adp_c + (53.95) h_c + (53.945874) pi_c + (0.749831) ppi_c	E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate		Biomass and maintenance functions
BIOMASS_Ec_iJO1366_core_53p95M	0	1e3	1	(54.124831) atp_c + (48.601527) h2o_c + (0.017868) pe160_c + (0.054154) pe161_c + (0.001831) nad_c + (0.000447) nadp_c + (0.013013) nh4_c + (0.000576) coa_c + (0.26316) glu__L_c + (0.215096) gtp_c + (0.000223) fad_c + (0.000223) amet_c + (0.26316) gln__L_c + (0.241055) asp__L_c + (0.000223) 10fthf_c + (0.000223) thf_c + (0.513689) ala__L_c + (0.000223) pydx5p_c + (0.045946) pe160_p + (0.09158) cys__L_c + (0.612638) gly_c + (0.221055) pro__L_c + (0.006715) fe2_c + (0.000223) ribflv_c + (0.295792) arg__L_c + (0.241055) asn__L_c + (2.6e-05) 2fe2s_c + (0.00026) 4fe4s_c + (0.000122) bmocogdp_c + (2e-06) btn_c + (0.005205) ca2_c + (0.005205) cl_c + (2.5e-05) cobalt2_c + (0.133508) ctp_c + (0.000709) cu2_c + (0.026166) datp_c + (0.027017) dctp_c + (0.027017) dgtp_c + (0.026166) dttp_c + (0.007808) fe3_c + (0.094738) his__L_c + (0.290529) ile__L_c + (0.195193) k_c + (0.450531) leu__L_c + (0.343161) lys__L_c + (0.153686) met__L_c + (0.008675) mg2_c + (0.000223) mlthf_c + (0.000691) mn2_c + (7e-06) mobd_c + (0.000323) ni2_c + (0.02106) pe161_p + (0.185265) phe__L_c + (0.000223) pheme_c + (0.215792) ser__L_c + (0.000223) sheme_c + (0.004338) so4_c + (0.000223) thmpp_c + (0.253687) thr__L_c + (0.056843) trp__L_c + (0.137896) tyr__L_c + (5.5e-05) udcpdp_c + (0.144104) utp_c + (0.423162) val__L_c + (0.000341) zn2_c + (0.000223) 2ohph_c + (0.019456) kdo2lipid4_e + (0.013894) murein5px4p_p --> (53.95) adp_c + (53.95) h_c + (53.945662) pi_c + (0.773903) ppi_c	E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate		Biomass and maintenance functions
BMOCOS	0	1e3	0	moco_c + mptamp_c --> amp_c + cu2_c + bmoco_c	Bis-molybdenum cofactor synthase	b0827	Cofactor and Prosthetic Group Biosynthesis
BMOGDS1	0	1e3	0	h_c + gtp_c + bmoco_c --> ppi_c + bmoco1gdp_c	Bis-molybdopterin guanine dinucleotide synthase (single GDP)	b3857 or (b3857 and b3856)	Cofactor and Prosthetic Group Biosynthesis
BMOGDS2	0	1e3	0	h_c + gtp_c + bmoco1gdp_c --> ppi_c + bmocogdp_c	Bis-molybdopterin guanine dinucleotide synthase	b3857 or (b3857 and b3856)	Cofactor and Prosthetic Group Biosynthesis
BPNT	0	1e3	0	h2o_c + pap_c --> pi_c + amp_c	3',5'-bisphosphate nucleotidase	b4214	Cysteine Metabolism
BSORx	0	1e3	0	h_c + nadh_c + btnso_c --> h2o_c + nad_c + btn_c	Biotin sulfoxide reductase	b3551	Cofactor and Prosthetic Group Biosynthesis
BSORy	0	1e3	0	h_c + nadph_c + btnso_c --> h2o_c + nadp_c + btn_c	Biotin sulfoxide reductase	b3551	Cofactor and Prosthetic Group Biosynthesis
BTNt2ipp	0	1e3	0	h_p + btn_p --> h_c + btn_c	Biotin transport via proton symport (periplasm)		Transport, Inner Membrane
BTNtex	-1e3	1e3	0	btn_e <==> btn_p	Biotin transport via diffusion (extracellular to periplasm)	b2215 or b1377 or b0241 or b0929	Transport, Outer Membrane Porin
BTS5	0	1e3	0	amet_c + 2fe2s_c + dtbt_c --> h_c + dad_5_c + btn_c + met__L_c + 2fe1s_c	Biotin synthase	b0775	Cofactor and Prosthetic Group Biosynthesis
BUTCT	0	1e3	0	accoa_c + but_c --> ac_c + btcoa_c	Acetyl-CoA:butyrate-CoA transferase	b2221 and b2222	Alternate Carbon Metabolism
BUTSO3abcpp	0	1e3	0	atp_c + h2o_c + butso3_p --> adp_c + h_c + pi_c + butso3_c	Butanesulfonate transport via ABC system (periplasm)	(b0936 and b0933 and b0934) or (b0365 and b0366 and b0367)	Transport, Inner Membrane
BUTSO3tex	-1e3	1e3	0	butso3_e <==> butso3_p	Butanesulfonate transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
BUTt2rpp	-1e3	1e3	0	h_p + but_p <==> h_c + but_c	Butyrate transport via proton symport, reversible (periplasm)	b2223	Transport, Inner Membrane
BUTtex	-1e3	1e3	0	but_e <==> but_p	Butyrate transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
BWCOGDS1	0	1e3	0	h_c + gtp_c + bwco_c --> ppi_c + bwco1gdp_c	Tungsten bispterin guanine dinucleotide synthase (single GDP)	b3857 or (b3857 and b3856)	Cofactor and Prosthetic Group Biosynthesis
BWCOGDS2	0	1e3	0	h_c + gtp_c + bwco1gdp_c --> ppi_c + bwcogdp_c	Tungsten bispterin guanine dinucleotide synthase	b3857 or (b3857 and b3856)	Cofactor and Prosthetic Group Biosynthesis
BWCOS	0	1e3	0	mptamp_c + wco_c --> amp_c + cu2_c + bwco_c	Tungsten bispterin cofactor synthase	b0827	Cofactor and Prosthetic Group Biosynthesis
CA2t3pp	0	1e3	0	h_p + ca2_c --> h_c + ca2_p	Calcium (Ca+2) transport out via proton antiport (periplasm)	b1216	Inorganic Ion Transport and Metabolism
CA2tex	-1e3	1e3	0	ca2_e <==> ca2_p	Calcium (Ca+2) transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
CADVtpp	0	1e3	0	h_p + 15dap_c + lys__L_p --> h_c + lys__L_c + 15dap_p	Lysine/Cadaverine antiporter (periplasm)	b4132	Transport, Inner Membrane
CAT	0	0	0	(2) h2o2_c --> (2) h2o_c + o2_c	Catalase	b1732 or b3942	Unassigned
CAt6pp	-1e3	1e3	0	na1_p + ca2_c <==> na1_c + ca2_p	Calcium / sodium antiporter (1:1)	b3196	Inorganic Ion Transport and Metabolism
CBIAT	-1e3	1e3	0	atp_c + h_c + cbi_c <==> adocbi_c + pppi_c	Cobinamide adenyltransferase	b1270	Cofactor and Prosthetic Group Biosynthesis
CBItonex	0	1e3	0	h_p + cbi_e --> h_c + cbi_p	Cobinamide transport via ton system (extermal)	b3966 and (b1252 and b3005 and b3006)	Transport, Outer Membrane
CBIuabcpp	0	1e3	0	atp_c + h2o_c + cbi_p --> adp_c + h_c + pi_c + cbi_c	Cobinamide transport via ABC system (uptake, periplasm)	b1711 and b1709 and b0158	Transport, Inner Membrane
CBL1abcpp	0	1e3	0	atp_c + h2o_c + cbl1_p --> adp_c + h_c + pi_c + cbl1_c	Cob(1)alamin transport via ABC system (periplasm)	b1711 and b1709 and b0158	Transport, Inner Membrane
CBL1tonex	0	1e3	0	h_p + cbl1_e --> h_c + cbl1_p	Cob(1)alamin transport via ton system (extermal)	b3966 and (b1252 and b3005 and b3006)	Transport, Outer Membrane
CBLAT	-1e3	1e3	0	atp_c + h_c + cbl1_c <==> adocbl_c + pppi_c	Cob(I)alamin adenosyltransferase	b1270	Cofactor and Prosthetic Group Biosynthesis
CBMD	0	1e3	0	(2) h_c + cbm_c --> nh4_c + co2_c	Carbamate deaminase	s0001	Nucleotide Salvage Pathway
CBMKr	-1e3	1e3	0	atp_c + nh4_c + co2_c <==> adp_c + (2) h_c + cbp_c	Carbamate kinase	b0521 or b0323 or b2874	Unassigned
CBPS	0	1e3	0	(2) atp_c + h2o_c + hco3_c + gln__L_c --> (2) adp_c + (2) h_c + pi_c + glu__L_c + cbp_c	Carbamoyl-phosphate synthase (glutamine-hydrolysing)	b0032 and b0033	Arginine and Proline Metabolism
CCGS	0	1e3	0	atp_c + nh4_c + cdg_c --> adp_c + h2o_c + h_c + pi_c + preq0_c	7-cyano-7-carbaguanine synthase	b0444	Cofactor and Prosthetic Group Biosynthesis
CD2abcpp	0	1e3	0	atp_c + h2o_c + cd2_c --> adp_c + h_c + pi_c + cd2_p	Cadmium (Cd+2) ABC transporter (periplasm)	b3469	Inorganic Ion Transport and Metabolism
CD2t3pp	0	1e3	0	h_p + cd2_c --> h_c + cd2_p	Cadmium (Cd+2) transport out via proton antiport (periplasm)	b3915 or b0752	Inorganic Ion Transport and Metabolism
CD2tex	-1e3	1e3	0	cd2_e <==> cd2_p	Cadmium (Cd+2) transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
CD2tpp	0	1e3	0	cd2_p --> cd2_c	Cadmium (+2) transport in via permease (no H+)	b3040	Inorganic Ion Transport and Metabolism
CDAPPA120	0	1e3	0	h2o_c + cdpdddecg_c --> (2) h_c + pa120_c + cmp_c	CDP-Diacylglycerol pyrophostatase (n-C12:0)	b3918	Glycerophospholipid Metabolism
CDAPPA140	0	1e3	0	h2o_c + cdpdtdecg_c --> (2) h_c + pa140_c + cmp_c	CDP-Diacylglycerol pyrophostatase (n-C14:0)	b3918	Glycerophospholipid Metabolism
CDAPPA141	0	1e3	0	h2o_c + cdpdtdec7eg_c --> (2) h_c + pa141_c + cmp_c	CDP-Diacylglycerol pyrophostatase (n-C14:1)	b3918	Glycerophospholipid Metabolism
CDAPPA160	0	1e3	0	h2o_c + cdpdhdecg_c --> (2) h_c + pa160_c + cmp_c	CDP-Diacylglycerol pyrophostatase (n-C16:0)	b3918	Glycerophospholipid Metabolism
CDAPPA161	0	1e3	0	h2o_c + cdpdhdec9eg_c --> (2) h_c + pa161_c + cmp_c	CDP-Diacylglycerol pyrophostatase (n-C16:1)	b3918	Glycerophospholipid Metabolism
CDAPPA180	0	1e3	0	h2o_c + cdpdodecg_c --> (2) h_c + pa180_c + cmp_c	CDP-Diacylglycerol pyrophostatase (n-C18:0)	b3918	Glycerophospholipid Metabolism
CDAPPA181	0	1e3	0	h2o_c + cdpdodec11eg_c --> (2) h_c + pa181_c + cmp_c	CDP-Diacylglycerol pyrophostatase (n-C18:1)	b3918	Glycerophospholipid Metabolism
CDGR	0	1e3	0	(3) h_c + (2) nadph_c + preq0_c --> (2) nadp_c + preq1_c	7-cyano-7-deazaguanine reductase	b2794	Cofactor and Prosthetic Group Biosynthesis
CDGS	0	1e3	0	h_c + cph4_c --> nh4_c + cdg_c	7-deaza-7-carboxyguanine synthase		Cofactor and Prosthetic Group Biosynthesis
CDPMEK	0	1e3	0	atp_c + 4c2me_c --> adp_c + h_c + 2p4c2me_c	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	b1208	Cofactor and Prosthetic Group Biosynthesis
CFAS160E	0	1e3	0	pe161_c + (2) amet_c --> (2) h_c + (2) ahcys_c + cpe160_c	Cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C16:0)	b1661	Glycerophospholipid Metabolism
CFAS160G	0	1e3	0	pg161_c + (2) amet_c --> (2) h_c + (2) ahcys_c + cpg160_c	Cyclopropane fatty acid synthase (Phosphatidylglycerol, n-C16:0)	b1661	Glycerophospholipid Metabolism
CFAS180E	0	1e3	0	pe181_c + (2) amet_c --> (2) h_c + (2) ahcys_c + cpe180_c	Cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C18:0)	b1661	Glycerophospholipid Metabolism
CFAS180G	0	1e3	0	pg181_c + (2) amet_c --> (2) h_c + (2) ahcys_c + cpg180_c	Cyclopropane fatty acid synthase (Phosphatidylglycerol, n-C18:0)	b1661	Glycerophospholipid Metabolism
CGLYabcpp	0	1e3	0	atp_c + h2o_c + cgly_p --> adp_c + h_c + pi_c + cgly_c	L-Cysteinylglycine (Cys-Gly) transport via ABC system (periplasm)	b3544 and b3543 and b3542 and b3541 and b3540	Transport, Inner Membrane
CGLYtex	-1e3	1e3	0	cgly_e <==> cgly_p	L-Cysteinylglycine transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
CHLabcpp	0	1e3	0	atp_c + h2o_c + chol_p --> adp_c + h_c + pi_c + chol_c	Choline transport via ABC system (periplasm)	b2128 and b2129 and b2130 and b2131	Transport, Inner Membrane
CHLt2pp	0	1e3	0	h_p + chol_p --> h_c + chol_c	Choline transport via proton symport (periplasm)	b0314 or b1801	Transport, Inner Membrane
CHLtex	-1e3	1e3	0	chol_e <==> chol_p	Choline transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
CHOLD	0	1e3	0	nad_c + chol_c --> h_c + nadh_c + betald_c	Choline dehydrogenase	b0311	Unassigned
CHORM	0	1e3	0	chor_c --> pphn_c	Chorismate mutase	b2599 or b2600	Tyrosine, Tryptophan, and Phenylalanine Metabolism
CHORS	0	1e3	0	3psme_c --> pi_c + chor_c	Chorismate synthase	b2329	Tyrosine, Tryptophan, and Phenylalanine Metabolism
CHRPL	0	1e3	0	chor_c --> pyr_c + 4hbz_c	Chorismate pyruvate lyase	b4039	Cofactor and Prosthetic Group Biosynthesis
CHTBSptspp	0	1e3	0	pep_c + chtbs_p --> pyr_c + chtbs6p_c	Chitobiose transport via PEP:Pyr PTS (periplasm)	b2416	Transport, Inner Membrane
CHTBStex	-1e3	1e3	0	chtbs_e <==> chtbs_p	Chitobiose transport via diffusion (extracellular to periplasm)	b2215 or b0929 or b1377 or b0241	Transport, Outer Membrane Porin
CINNDO	0	1e3	0	h_c + nadh_c + o2_c + cinnm_c --> nad_c + cenchddd_c	Cinnamate dioxygenase	b2538 and b2539 and b2540 and b2542	Alternate Carbon Metabolism
CITL	0	1e3	0	cit_c --> ac_c + oaa_c	Citrate lyase	(b0615 and b0616 and b0617) and b0614	Citric Acid Cycle
CITt3pp	0	1e3	0	h_p + cit_c --> h_c + cit_p	Citrate transport out via proton antiport (periplasm)		Transport, Inner Membrane
CITt7pp	0	1e3	0	succ_c + cit_p --> cit_c + succ_p	Citrate transport via succinate antiport (periplasm)	b0612	Transport, Inner Membrane
CITtex	-1e3	1e3	0	cit_e <==> cit_p	Citrate transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
CLIPAabctex	0	1e3	0	atp_c + h2o_c + lipa_cold_p --> adp_c + h_c + pi_c + lipa_cold_e	Cold lipid A transport via ABC system (periplasm to extracellular)	b3200 and b3201 and b3199 and b4261 and b4262	Lipopolysaccharide Biosynthesis / Recycling
CLPNH120pp	0	1e3	0	h2o_p + clpn120_p --> h_p + pa120_p + pg120_p	Cardiolipin hydrolase (periplasm, n-C12:0)		Glycerophospholipid Metabolism
CLPNH140pp	0	1e3	0	h2o_p + clpn140_p --> h_p + pa140_p + pg140_p	Cardiolipin hydrolase (periplasm, n-C14:0)		Glycerophospholipid Metabolism
CLPNH141pp	0	1e3	0	h2o_p + clpn141_p --> h_p + pa141_p + pg141_p	Cardiolipin hydrolase (periplasm, n-C14:1)		Glycerophospholipid Metabolism
CLPNH160pp	0	1e3	0	h2o_p + clpn160_p --> h_p + pg160_p + pa160_p	Cardiolipin hydrolase (periplasm, n-C16:0)		Glycerophospholipid Metabolism
CLPNH161pp	0	1e3	0	h2o_p + clpn161_p --> h_p + pg161_p + pa161_p	Cardiolipin hydrolase (periplasm, n-C16:1)		Glycerophospholipid Metabolism
CLPNH180pp	0	1e3	0	h2o_p + clpn180_p --> h_p + pa180_p + pg180_p	Cardiolipin hydrolase (periplasm, n-C18:0)		Glycerophospholipid Metabolism
CLPNH181pp	0	1e3	0	h2o_p + clpn181_p --> h_p + pg181_p + pa181_p	Cardiolipin hydrolase (periplasm, n-C18:1)		Glycerophospholipid Metabolism
CLPNS120pp	-1e3	1e3	0	(2) pg120_p <==> clpn120_p + glyc_p	Cardiolipin synthase (periplasmic, n-C12:0)	b0789 or b1249	Glycerophospholipid Metabolism
CLPNS140pp	-1e3	1e3	0	(2) pg140_p <==> clpn140_p + glyc_p	Cardiolipin synthase (periplasmic, n-C14:0)	b1249 or b0789	Glycerophospholipid Metabolism
CLPNS141pp	-1e3	1e3	0	(2) pg141_p <==> clpn141_p + glyc_p	Cardiolipin synthase (periplasmic, n-C14:1)	b0789 or b1249	Glycerophospholipid Metabolism
CLPNS160pp	-1e3	1e3	0	(2) pg160_p <==> clpn160_p + glyc_p	Cardiolipin synthase (periplasmic, n-C16:0)	b0789 or b1249	Glycerophospholipid Metabolism
CLPNS161pp	-1e3	1e3	0	(2) pg161_p <==> clpn161_p + glyc_p	Cardiolipin synthase (periplasmic, n-C16:1)	b1249 or b0789	Glycerophospholipid Metabolism
CLPNS180pp	-1e3	1e3	0	(2) pg180_p <==> clpn180_p + glyc_p	Cardiolipin synthase (periplasmic, n-C18:0)	b0789 or b1249	Glycerophospholipid Metabolism
CLPNS181pp	-1e3	1e3	0	(2) pg181_p <==> clpn181_p + glyc_p	Cardiolipin synthase (periplasmic, n-C18:1)	b0789 or b1249	Glycerophospholipid Metabolism
CLt3_2pp	0	1e3	0	h_c + (2) cl_p --> h_p + (2) cl_c	Chloride transport out via proton antiport (2:1) (periplasm)	b0155 or b1592	Inorganic Ion Transport and Metabolism
CLtex	-1e3	1e3	0	cl_e <==> cl_p	Chloride (Cl-1) transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
CMPN	0	1e3	0	h2o_c + cmp_c --> r5p_c + csn_c	CMP nucleosidase		Nucleotide Salvage Pathway
CMPtex	-1e3	1e3	0	cmp_e <==> cmp_p	CMP transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
CMtex	-1e3	1e3	0	cm_e <==> cm_p	Chloramphenicol transport via diffusion (extracellular to periplasm)	b1377 or b2215 or b0929 or b0241	Transport, Outer Membrane Porin
CMtpp	0	1e3	0	h_p + cm_p --> h_c + cm_e	Chloramphenicol transport via TolC system	(b0463 and b0462 and b3035) or (b0463 and b2470 and b3035)	Transport, Outer Membrane
CO2tex	-1e3	1e3	0	co2_e <==> co2_p	CO2 transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
CO2tpp	-1e3	1e3	0	co2_p <==> co2_c	CO2 transporter via diffusion (periplasm)	s0001	Transport, Inner Membrane
COBALT2abcpp	0	1e3	0	atp_c + h2o_c + cobalt2_c --> adp_c + h_c + pi_c + cobalt2_p	Cobalt (Co+2) ABC transporter (periplasm)	b3469	Inorganic Ion Transport and Metabolism
COBALT2t3pp	0	1e3	0	h_p + cobalt2_c --> h_c + cobalt2_p	Cobalt (Co+2) transport out via proton antiport (periplasm)	b0752 or b3915	Inorganic Ion Transport and Metabolism
COBALT2tex	-1e3	1e3	0	cobalt2_e <==> cobalt2_p	Cobalt (Co+2) transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
COBALT2tpp	0	1e3	0	cobalt2_p --> cobalt2_c	Cobalt transport in via permease (no H+)	b3040 or b3816	Inorganic Ion Transport and Metabolism
COLIPAKpp	0	1e3	0	colipa_p + udcpdp_p --> colipap_p + udcpp_p	Lipid A core kinase (periplasm)	b2174	Lipopolysaccharide Biosynthesis / Recycling
COLIPAPabctex	0	1e3	0	atp_c + h2o_c + colipap_p --> adp_c + h_c + pi_c + colipap_e	Core oligosaccharide lipid A diphosphate transport via ABC system (periplasm to extracellular)	b3200 and b3201 and b3199 and b4261 and b4262	Lipopolysaccharide Biosynthesis / Recycling
COLIPAabcpp	0	1e3	0	atp_c + h2o_c + colipa_c --> adp_c + h_c + pi_c + colipa_p	Core oligosaccharide lipid A transport via ABC system (periplasm)	b0914	Lipopolysaccharide Biosynthesis / Recycling
COLIPAabctex	0	1e3	0	atp_c + h2o_c + colipa_p --> adp_c + h_c + pi_c + colipa_e	Core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)	b3200 and b3201 and b3199 and b4261 and b4262	Lipopolysaccharide Biosynthesis / Recycling
CPGNR1	0	1e3	0	fadh2_c + (2) cpgn_c --> (2) h_c + fad_c + (2) fe2_c + (2) cpgn_un_c	Coprogen(Fe(III)) reductase		Inorganic Ion Transport and Metabolism
CPGNR2	0	1e3	0	fmnh2_c + (2) cpgn_c --> (2) h_c + (2) fe2_c + fmn_c + (2) cpgn_un_c	Coprogen(Fe(III)) reductase		Inorganic Ion Transport and Metabolism
CPGNR3	0	1e3	0	rbflvrd_c + (2) cpgn_c --> (2) h_c + (2) fe2_c + ribflv_c + (2) cpgn_un_c	Coprogen(Fe(III)) reductase		Inorganic Ion Transport and Metabolism
CPGNUtex	0	1e3	0	h_p + cpgn_un_p --> h_c + cpgn_un_e	Coprogen unloaded secretion (extracellular)		Inorganic Ion Transport and Metabolism
CPGNUtpp	0	1e3	0	h_p + cpgn_un_c --> h_c + cpgn_un_p	Coprogen unloaded secretion		Inorganic Ion Transport and Metabolism
CPGNabcpp	0	1e3	0	atp_c + h2o_c + cpgn_p --> adp_c + h_c + pi_c + cpgn_c	Coprogen transport via ABC system (periplasm)	b0153 and b0151 and b0152	Transport, Inner Membrane
CPGNexs	0	1e3	0	fe3_e + cpgn_un_e --> cpgn_e	Coprogen Fe-loading reaction (spontaneaous)	s0001	Inorganic Ion Transport and Metabolism
CPGNtonex	0	1e3	0	h_p + cpgn_e --> h_c + cpgn_p	Coprogen transport via ton system (extracellular)	b1102 and (b1252 and b3005 and b3006)	Transport, Outer Membrane
CPH4S	0	1e3	0	h2o_c + ahdt_c --> h_c + acald_c + pppi_c + cph4_c	6-carboxy-5,6,7,8-tetrahydropterin synthase	b2765	Cofactor and Prosthetic Group Biosynthesis
CPMPS	0	1e3	0	h2o_c + gtp_c --> ppi_c + cpmp_c	Cyclic pyranopterin monophosphate synthase	b0781 and b0783	Cofactor and Prosthetic Group Biosynthesis
CPPPGO	0	1e3	0	(2) h_c + o2_c + cpppg3_c --> (2) h2o_c + (2) co2_c + pppg9_c	Coproporphyrinogen oxidase (O2 required)	b2436	Cofactor and Prosthetic Group Biosynthesis
CPPPGO2	0	1e3	0	(2) amet_c + cpppg3_c --> (2) co2_c + (2) dad_5_c + (2) met__L_c + pppg9_c	Oxygen Independent coproporphyrinogen-III oxidase	b3867	Cofactor and Prosthetic Group Biosynthesis
CRNBTCT	-1e3	1e3	0	bbtcoa_c + crn_c <==> crncoa_c + gbbtn_c	Gamma-butyrobetainyl-CoA: carnitine CoA transferase	b0038	Oxidative Phosphorylation
CRNCAL2	0	1e3	0	atp_c + coa_c + crn_c --> adp_c + pi_c + crncoa_c	Carnitine-CoA Ligase	b0037	Oxidative Phosphorylation
CRNCAR	-1e3	1e3	0	crncoa_c <==> crnDcoa_c	Carnitine-CoA racemase	b0036	Oxidative Phosphorylation
